block_id,section_id,date,maintenance_type,planned_start,planned_end,planned_duration_min,required_asset_type,priority,weather,actual_duration_min,overrun_min,overrun_flag
B10482,GTL-GY,2023-11-18,Track Stabilization,00:00,02:51,171.1,Dynamic Track Stabilizer,Low,Fog,205.0,33.9,1
B02553,GKP-KLD,2023-11-18,Track Repair,23:00,02:14,194.9,Tamping Machine,Low,Heavy Rain,200.0,5.1,0
B00691,TBM-TBMS,2023-11-18,Track Stabilization,01:00,03:48,168.0,Dynamic Track Stabilizer,Medium,Light Rain,211.4,43.3,1
B10436,BBK-GD,2023-11-18,Signal Maintenance,04:00,05:30,90.3,Tower Wagon,Low,Fog,102.1,11.8,1
B03089,AGP-BLH,2023-11-18,Track Repair,02:00,04:52,172.9,Tamping Machine,Medium,Extreme Heat,165.6,-7.3,0
B13614,BBS-KUR,2023-11-18,Track Stabilization,22:00,00:35,155.7,Dynamic Track Stabilizer,Medium,Clear,147.7,-8.0,0
B03705,EE-RJY,2023-11-18,Signal Maintenance,22:00,23:42,102.5,Tower Wagon,Low,Clear,118.4,15.9,1
B14441,ATC-JOO,2023-11-18,OHE Maintenance,01:00,03:17,137.8,OHE Maintenance Special,Low,Light Rain,121.5,-16.2,0
B12370,MKP-STA,2023-11-18,OHE Maintenance,01:00,03:21,141.2,OHE Maintenance Special,Low,Fog,179.7,38.5,1
B00333,CGL-SKL,2023-11-18,Signal Maintenance,00:00,02:05,125.4,Tower Wagon,Low,Clear,120.5,-4.9,0
B14043,DVL-NK,2023-11-18,OHE Maintenance,22:00,00:24,144.2,OHE Maintenance Special,Low,Clear,170.6,26.4,1
B07371,CBE-TUP,2023-11-18,Ballast Renewal,04:00,07:56,236.2,Ballast Regulator,Medium,Clear,224.0,-12.2,0
B06588,DH-GURN,2023-11-18,OHE Maintenance,02:00,04:33,153.9,OHE Maintenance Special,Low,Extreme Heat,135.5,-18.4,0
B13783,BRC-GDA,2023-11-18,Rail Welding,22:00,23:18,78.5,Rail Crane,Low,Clear,99.0,20.5,1
B02273,PV-STM,2023-11-19,Ballast Renewal,02:00,05:32,212.2,Ballast Regulator,Low,Clear,227.3,15.1,1
B09125,CRJ-MDP,2023-11-19,Rail Welding,00:00,01:31,91.7,Rail Crane,Low,Clear,100.6,8.9,0
B06996,KYQ-RNY,2023-11-19,Signal Maintenance,02:00,03:32,92.4,Tower Wagon,Low,Clear,93.2,0.8,0
B02520,AKV-BH,2023-11-19,Signal Maintenance,22:00,23:19,79.3,Tower Wagon,Low,Clear,92.5,13.2,1
B04561,BPQ-CD,2023-11-19,Ballast Renewal,22:00,03:04,304.6,Ballast Regulator,Low,Heavy Rain,327.9,23.4,1
B02240,ASN-DHN,2023-11-19,Rail Welding,22:00,23:39,99.3,Rail Crane,Low,Clear,118.0,18.7,1
B14619,LGDH-MJF,2023-11-19,Points Renewal,02:00,06:37,277.7,Rail Crane,Low,Light Rain,301.3,23.6,1
B03583,BNC-BNCE,2023-11-19,Rail Welding,01:00,02:25,85.6,Rail Crane,Low,Clear,77.2,-8.4,0
B05544,ASN-RNG,2023-11-19,Track Stabilization,02:00,05:03,183.5,Dynamic Track Stabilizer,Low,Clear,187.9,4.4,0
B05138,SVR-VEU,2023-11-19,OHE Maintenance,04:00,06:52,172.9,OHE Maintenance Special,Medium,Fog,154.3,-18.6,0
B01989,AK-BSL,2023-11-19,Ballast Renewal,04:00,06:50,170.5,Ballast Regulator,Low,Clear,145.5,-25.0,0
B02986,GKP-KLD,2023-11-20,Ballast Renewal,02:00,05:36,216.2,Ballast Regulator,Low,Clear,268.5,52.3,1
B00286,DKAE-GBRA,2023-11-20,Track Repair,22:00,01:22,202.3,Tamping Machine,Low,Light Rain,196.7,-5.6,0
B05025,JTJ-VN,2023-11-20,Rail Welding,01:00,02:19,79.7,Rail Crane,Low,Clear,76.0,-3.6,0
B14047,MMR-NK,2023-11-20,Signal Maintenance,23:00,00:47,107.1,Tower Wagon,Low,Fog,141.1,34.0,1
B02927,KTE-STA,2023-11-20,Signal Maintenance,22:00,23:40,100.1,Tower Wagon,Low,Heavy Rain,122.8,22.6,1
B14537,EGT-KBT,2023-11-20,Track Stabilization,02:00,05:19,199.7,Dynamic Track Stabilizer,Low,Clear,195.4,-4.3,0
B05307,HJP-SEE,2023-11-20,Track Stabilization,22:00,00:38,158.4,Dynamic Track Stabilizer,Medium,Clear,146.6,-11.8,0
B09822,BBAE-BHR,2023-11-20,Signal Maintenance,04:00,05:34,94.4,Tower Wagon,Medium,Clear,91.0,-3.4,0
B02806,KYN-TNA,2023-11-20,Points Renewal,04:00,06:55,175.6,Rail Crane,Medium,Clear,166.7,-8.9,0
B08769,AGC-GWL,2023-11-20,Ballast Renewal,02:00,05:17,197.0,Ballast Regulator,Low,Clear,209.2,12.1,1
B09312,AKV-BH,2023-11-20,OHE Maintenance,03:00,05:21,142.0,OHE Maintenance Special,Low,Heavy Rain,145.0,3.0,0
B11816,BE-MB,2023-11-20,Track Stabilization,02:00,05:00,180.3,Dynamic Track Stabilizer,Low,Light Rain,180.0,-0.3,0
B11080,BGB-NAI,2023-11-20,Rail Welding,04:00,05:34,94.3,Rail Crane,Low,Heavy Rain,145.2,50.9,1
B09451,DUAN-RDU,2023-11-20,Points Renewal,00:00,02:43,163.3,Rail Crane,Low,Clear,203.3,40.0,1
B06459,BY-CSMT,2023-11-20,Track Stabilization,00:00,03:08,188.1,Dynamic Track Stabilizer,Low,Clear,212.0,23.9,1
B00204,BNAA-CDP,2023-11-21,Track Stabilization,22:00,23:44,104.2,Dynamic Track Stabilizer,Low,Clear,105.4,1.2,0
B07490,FL-JP,2023-11-21,Points Renewal,01:00,04:32,212.1,Rail Crane,Low,Light Rain,245.6,33.5,1
B13229,KNE-NJP,2023-11-21,Points Renewal,00:00,03:25,205.7,Rail Crane,Low,Light Rain,200.1,-5.6,0
B10748,BSD-GURN,2023-11-21,Track Stabilization,01:00,03:15,135.8,Dynamic Track Stabilizer,Low,Heavy Rain,171.4,35.7,1
B01959,ANND-ND,2023-11-21,OHE Maintenance,22:00,00:03,123.4,OHE Maintenance Special,Medium,Clear,151.6,28.2,1
B09962,TVT-WCN,2023-11-21,Rail Welding,01:00,02:40,100.8,Rail Crane,Low,Heavy Rain,160.7,60.0,1
B14808,CNB-NDLS,2023-11-21,Ballast Renewal,01:00,04:27,207.7,Ballast Regulator,Low,Fog,202.7,-5.0,0
B01459,ABB-SEL,2023-11-21,Signal Maintenance,22:00,23:54,114.6,Tower Wagon,Low,Heavy Rain,158.5,43.9,1
B13557,KQU-MDSE,2023-11-21,Signal Maintenance,01:00,02:52,113.0,Tower Wagon,Low,Clear,137.0,24.1,1
B10433,KDV-TLA,2023-11-21,Points Renewal,04:00,07:34,214.9,Rail Crane,Low,Clear,235.3,20.3,1
B11601,FUT-PNC,2023-11-22,Track Repair,01:00,04:17,198.0,Tamping Machine,Low,Extreme Heat,228.1,30.2,1
B06480,VPY-WST,2023-11-22,Points Renewal,22:00,01:49,229.9,Rail Crane,Low,Light Rain,258.1,28.2,1
B03804,JRC-PGW,2023-11-22,Signal Maintenance,03:00,04:28,88.9,Tower Wagon,Low,Extreme Heat,86.7,-2.3,0
B08507,BST-KLD,2023-11-22,Track Stabilization,03:00,05:53,173.6,Dynamic Track Stabilizer,Low,Clear,177.4,3.8,0
B08109,SUNR-VG,2023-11-22,OHE Maintenance,01:00,03:14,134.5,OHE Maintenance Special,Low,Clear,109.5,-25.0,0
B09037,CPB-MGW,2023-11-22,Ballast Renewal,23:00,02:26,206.9,Ballast Regulator,Low,Clear,208.3,1.4,0
B09592,AGP-BLH,2023-11-22,Ballast Renewal,22:00,01:38,218.9,Ballast Regulator,Medium,Clear,267.8,48.9,1
B04203,DOS-SSM,2023-11-22,Track Stabilization,01:00,03:53,173.0,Dynamic Track Stabilizer,Low,Clear,186.3,13.3,1
B00603,RK-SRE,2023-11-22,Track Repair,04:00,07:48,228.5,Tamping Machine,Low,Light Rain,250.4,21.8,1
B11246,NEU-TNA,2023-11-22,Track Stabilization,01:00,03:27,147.6,Dynamic Track Stabilizer,Low,Clear,127.7,-19.9,0
B07700,RJY-VSKP,2023-11-22,Track Repair,22:00,00:21,141.4,Tamping Machine,Low,Clear,162.3,20.9,1
B03752,GHY-KYQ,2023-11-22,Track Stabilization,22:00,23:52,112.0,Dynamic Track Stabilizer,Low,Heavy Rain,144.8,32.8,1
B10539,DEC-DEE,2023-11-22,OHE Maintenance,00:00,02:52,172.6,OHE Maintenance Special,Low,Clear,175.1,2.5,0
B14423,BHPA-SNU,2023-11-22,Ballast Renewal,00:00,02:58,178.9,Ballast Regulator,Low,Clear,172.7,-6.2,0
B10125,NLR-OGL,2023-11-22,Ballast Renewal,00:00,04:02,242.8,Ballast Regulator,Medium,Light Rain,217.9,-25.0,0
B10204,DHK-JDP,2023-11-22,Track Stabilization,02:00,04:36,156.8,Dynamic Track Stabilizer,Medium,Clear,202.1,45.2,1
B11502,KAVM-WCN,2023-11-23,Track Stabilization,03:00,06:01,181.1,Dynamic Track Stabilizer,Low,Light Rain,190.8,9.7,0
B11085,ST-UDN,2023-11-23,Track Stabilization,03:00,05:53,173.1,Dynamic Track Stabilizer,Low,Clear,185.0,12.0,1
B02242,HJP-MFP,2023-11-23,Rail Welding,04:00,05:42,102.3,Rail Crane,Low,Light Rain,85.6,-16.7,0
B00112,KAN-TIT,2023-11-23,OHE Maintenance,02:00,04:52,172.1,OHE Maintenance Special,Low,Clear,194.6,22.5,1
B11515,BPP-CLX,2023-11-23,Track Repair,23:00,01:50,170.2,Tamping Machine,Low,Clear,190.2,20.0,1
B01583,BGL-BHNA,2023-11-23,Rail Welding,04:00,05:32,92.8,Rail Crane,Low,Fog,93.4,0.6,0
B04067,KQU-MDSE,2023-11-23,OHE Maintenance,02:00,04:17,137.2,OHE Maintenance Special,Low,Clear,180.7,43.5,1
B02730,BRC-ST,2023-11-23,Ballast Renewal,01:00,04:26,206.5,Ballast Regulator,Low,Clear,185.1,-21.4,0
B09013,BH-ST,2023-11-23,Rail Welding,02:00,03:34,94.9,Rail Crane,Medium,Clear,137.4,42.5,1
B10757,MSB-MTMY,2023-11-23,Track Stabilization,00:00,02:47,167.3,Dynamic Track Stabilizer,Medium,Heavy Rain,180.8,13.5,1
B03031,DMU-UTN,2023-11-23,Track Stabilization,22:00,00:53,173.3,Dynamic Track Stabilizer,Low,Light Rain,166.2,-7.1,0
B02706,CNJ-SBB,2023-11-23,Track Stabilization,01:00,04:21,201.7,Dynamic Track Stabilizer,Low,Clear,228.1,26.4,1
B11633,KQD-NLRD,2023-11-23,OHE Maintenance,00:00,02:04,124.1,OHE Maintenance Special,Low,Clear,127.4,3.3,0
B03769,BSL-KNW,2023-11-23,Track Repair,00:00,03:27,207.5,Tamping Machine,Low,Clear,230.3,22.7,1
B10465,MDU-VPT,2023-11-23,Signal Maintenance,00:00,02:12,132.7,Tower Wagon,Low,Heavy Rain,184.6,51.9,1
B08347,MLDT-NFK,2023-11-23,Points Renewal,00:00,02:48,168.3,Rail Crane,Low,Clear,158.8,-9.5,0
B00616,DBT-HGA,2023-11-23,Rail Welding,01:00,02:28,88.0,Rail Crane,Low,Fog,109.6,21.5,1
B12129,DPDP-SJPR,2023-11-23,Track Stabilization,03:00,05:21,141.6,Dynamic Track Stabilizer,Low,Clear,162.4,20.8,1
B12866,GQD-PLF,2023-11-23,Ballast Renewal,23:00,02:48,228.6,Ballast Regulator,Low,Clear,207.1,-21.5,0
B02673,ALD-MGS,2023-11-23,Ballast Renewal,22:00,01:01,181.1,Ballast Regulator,Low,Clear,194.7,13.6,1
B05324,FUT-KOO,2023-11-23,Signal Maintenance,00:00,01:30,90.2,Tower Wagon,Low,Clear,65.2,-25.0,0
B11046,BST-KLD,2023-11-23,Signal Maintenance,01:00,02:41,101.3,Tower Wagon,Low,Clear,76.3,-25.0,0
B09500,BLN-SDAH,2023-11-23,OHE Maintenance,04:00,06:00,120.9,OHE Maintenance Special,High,Clear,119.8,-1.1,0
B05695,HHR-MMG,2023-11-23,Track Repair,04:00,06:25,146.0,Tamping Machine,Medium,Clear,166.5,20.5,1
B01102,HJP-SEE,2023-11-24,Rail Welding,01:00,02:25,85.7,Rail Crane,Medium,Clear,121.2,35.5,1
B08437,D-SNU,2023-11-24,Ballast Renewal,02:00,05:33,213.1,Ballast Regulator,Low,Fog,262.6,49.5,1
B01289,HMZ-KOG,2023-11-24,Track Stabilization,22:00,00:18,139.0,Dynamic Track Stabilizer,Medium,Clear,160.1,21.1,1
B03439,ADI-ND,2023-11-24,Rail Welding,01:00,02:22,82.6,Rail Crane,Medium,Clear,110.8,28.1,1
B07291,KHAI-PKU,2023-11-24,Signal Maintenance,01:00,02:22,82.8,Tower Wagon,Low,Fog,95.1,12.4,1
B13474,MBM-MKK,2023-11-24,Track Stabilization,00:00,02:38,159.0,Dynamic Track Stabilizer,Medium,Clear,168.7,9.7,0
B08749,BIJ-KLNP,2023-11-24,OHE Maintenance,01:00,03:24,144.5,OHE Maintenance Special,Low,Clear,154.1,9.7,0
B13583,EGT-KBT,2023-11-24,Rail Welding,00:00,01:16,76.7,Rail Crane,Low,Heavy Rain,151.7,75.0,1
B10513,JAJ-KIUL,2023-11-24,Track Repair,02:00,04:47,167.2,Tamping Machine,Low,Clear,159.7,-7.5,0
B10141,CTO-KPD,2023-11-24,Signal Maintenance,00:00,01:30,90.0,Tower Wagon,Low,Light Rain,107.0,17.0,1
B12608,JHS-ORAI,2023-11-24,Signal Maintenance,01:00,02:42,102.2,Tower Wagon,Low,Extreme Heat,99.6,-2.6,0
B06260,ANVT-GZB,2023-11-24,Track Stabilization,22:00,01:08,188.1,Dynamic Track Stabilizer,Low,Fog,214.9,26.8,1
B03991,KLVA-TNA,2023-11-25,Track Repair,01:00,04:21,201.3,Tamping Machine,Medium,Clear,176.3,-25.0,0
B09941,KLNT-NDAE,2023-11-25,Rail Welding,23:00,00:34,94.3,Rail Crane,Low,Clear,116.0,21.8,1
B10611,BKI-DO,2023-11-25,Track Repair,22:00,00:42,162.0,Tamping Machine,Low,Clear,213.2,51.2,1
B14845,BLN-DHK,2023-11-25,Points Renewal,22:00,01:03,183.7,Rail Crane,Medium,Clear,179.5,-4.3,0
B03541,BMT-NLRD,2023-11-25,Track Repair,23:00,02:14,194.5,Tamping Machine,Low,Clear,208.7,14.2,1
B09987,MJT-NACC,2023-11-25,Signal Maintenance,22:00,23:40,100.5,Tower Wagon,Low,Light Rain,109.5,9.0,0
B14647,CRJ-JMT,2023-11-25,OHE Maintenance,02:00,04:41,161.4,OHE Maintenance Special,Low,Clear,186.8,25.4,1
B01331,CNB-MGS,2023-11-25,Rail Welding,01:00,02:47,108.0,Rail Crane,Low,Light Rain,105.1,-2.8,0
B01045,ADI-VG,2023-11-25,Points Renewal,01:00,03:42,162.0,Rail Crane,Low,Fog,170.7,8.7,0
B06862,BSR-PNVL,2023-11-25,Ballast Renewal,22:00,00:50,170.6,Ballast Regulator,Low,Clear,192.0,21.4,1
B07211,PUNE-SVJR,2023-11-25,Signal Maintenance,01:00,02:30,90.5,Tower Wagon,Low,Clear,94.0,3.5,0
B00448,CSB-TKJ,2023-11-26,Ballast Renewal,02:00,05:51,231.5,Ballast Regulator,Medium,Clear,250.7,19.3,1
B12113,AK-BSL,2023-11-26,Ballast Renewal,01:00,04:41,221.7,Ballast Regulator,Low,Fog,242.5,20.8,1
B01535,BSR-PNVL,2023-11-26,Signal Maintenance,03:00,04:10,70.3,Tower Wagon,Low,Clear,51.3,-18.9,0
B09547,FL-KSG,2023-11-26,Ballast Renewal,02:00,05:49,229.7,Ballast Regulator,Low,Extreme Heat,226.1,-3.7,0
B07890,CBE-PGT,2023-11-26,Signal Maintenance,02:00,03:13,73.3,Tower Wagon,Medium,Clear,72.2,-1.1,0
B01524,BNXR-SDAH,2023-11-26,Points Renewal,04:00,07:42,222.6,Rail Crane,High,Clear,232.0,9.4,0
B09193,HC-PRES,2023-11-26,OHE Maintenance,00:00,02:06,126.5,OHE Maintenance Special,Medium,Clear,159.0,32.6,1
B01061,BEPR-CSMT,2023-11-26,Signal Maintenance,22:00,23:11,72.0,Tower Wagon,Low,Clear,70.0,-1.9,0
B04494,DKDP-KYP,2023-11-26,OHE Maintenance,04:00,06:54,174.2,OHE Maintenance Special,Low,Clear,173.6,-0.5,0
B08694,BLY-UPA,2023-11-26,Ballast Renewal,01:00,03:46,166.9,Ballast Regulator,Medium,Heavy Rain,150.4,-16.5,0
B10690,GC-VVH,2023-11-26,Track Repair,01:00,03:45,165.3,Tamping Machine,High,Fog,210.7,45.5,1
B10235,MRGA-NLDA,2023-11-26,Rail Welding,01:00,02:22,82.4,Rail Crane,Low,Clear,63.8,-18.5,0
B05427,KJU-TBAE,2023-11-26,Track Stabilization,02:00,05:10,190.6,Dynamic Track Stabilizer,Low,Light Rain,205.8,15.2,1
B00044,MS-TBM,2023-11-26,Points Renewal,00:00,02:58,178.5,Rail Crane,Low,Clear,159.9,-18.6,0
B09476,AVD-PRES,2023-11-26,OHE Maintenance,02:00,04:43,163.3,OHE Maintenance Special,Low,Light Rain,176.2,12.8,1
B01410,ASO-ATG,2023-11-26,Signal Maintenance,01:00,02:43,103.3,Tower Wagon,Low,Clear,125.1,21.8,1
B11933,BRP-SSRD,2023-11-26,OHE Maintenance,01:00,03:23,143.6,OHE Maintenance Special,Low,Clear,134.9,-8.6,0
B12525,CNGR-TRVL,2023-11-26,Points Renewal,23:00,02:09,190.0,Rail Crane,Medium,Heavy Rain,227.8,37.8,1
B06819,JET-SJVP,2023-11-27,Signal Maintenance,23:00,00:27,87.5,Tower Wagon,Low,Fog,108.0,20.6,1
B02176,BMG-BT,2023-11-27,Ballast Renewal,00:00,04:06,246.1,Ballast Regulator,Medium,Light Rain,265.1,19.1,1
B06415,CTC-JJKR,2023-11-27,Rail Welding,00:00,01:06,66.4,Rail Crane,Low,Light Rain,76.7,10.3,1
B10886,KYN-SHAD,2023-11-27,Track Stabilization,00:00,01:44,104.5,Dynamic Track Stabilizer,Low,Clear,124.0,19.5,1
B13048,DSB-NDLS,2023-11-27,Ballast Renewal,02:00,05:24,204.4,Ballast Regulator,Low,Heavy Rain,235.9,31.4,1
B14826,DPDP-SJPR,2023-11-27,Points Renewal,00:00,03:06,186.6,Rail Crane,Low,Clear,220.4,33.8,1
B14848,BND-NHU,2023-11-27,Track Stabilization,23:00,01:45,165.8,Dynamic Track Stabilizer,High,Heavy Rain,170.1,4.3,0
B14386,ABR-FA,2023-11-27,Points Renewal,00:00,03:09,189.3,Rail Crane,Low,Light Rain,202.6,13.2,1
B06361,BGS-BJU,2023-11-27,OHE Maintenance,01:00,03:36,156.5,OHE Maintenance Special,Low,Heavy Rain,202.4,45.9,1
B05828,MBM-MKK,2023-11-27,Track Stabilization,00:00,02:40,160.3,Dynamic Track Stabilizer,Medium,Clear,135.3,-25.0,0
B12057,BSBP-KGY,2023-11-27,OHE Maintenance,00:00,02:58,178.5,OHE Maintenance Special,Low,Extreme Heat,169.7,-8.8,0
B10407,CGL-SKL,2023-11-27,Ballast Renewal,23:00,02:03,184.0,Ballast Regulator,Low,Clear,183.8,-0.2,0
B14363,AGP-SEP,2023-11-28,Ballast Renewal,02:00,05:04,184.4,Ballast Regulator,Medium,Clear,175.9,-8.5,0
B03640,AK-BD,2023-11-28,Track Repair,01:00,04:08,188.3,Tamping Machine,Low,Light Rain,219.8,31.5,1
B02161,AK-BD,2023-11-28,Points Renewal,01:00,04:32,212.7,Rail Crane,Low,Clear,239.1,26.4,1
B01634,BNAA-CDP,2023-11-28,Points Renewal,03:00,06:49,229.6,Rail Crane,Low,Clear,234.6,5.0,0
B04966,BOP-NDGJ,2023-11-28,Rail Welding,23:00,00:23,83.5,Rail Crane,Low,Fog,117.8,34.3,1
B08909,CPB-MGW,2023-11-28,Rail Welding,04:00,05:31,91.7,Rail Crane,Low,Clear,107.7,16.0,1
B10519,CCH-PMP,2023-11-28,Track Stabilization,04:00,07:08,188.7,Dynamic Track Stabilizer,Low,Clear,197.1,8.3,0
B00859,HJP-MFP,2023-11-28,Ballast Renewal,01:00,05:08,248.1,Ballast Regulator,Low,Clear,272.0,23.9,1
B04531,JTJ-VN,2023-11-28,Track Repair,03:00,06:08,188.5,Tamping Machine,Low,Clear,173.7,-14.8,0
B09995,BPQ-SKZR,2023-11-28,Rail Welding,03:00,04:47,107.8,Rail Crane,Low,Clear,120.7,12.9,1
B14777,GRAE-JPQ,2023-11-28,OHE Maintenance,01:00,03:59,179.4,OHE Maintenance Special,Low,Heavy Rain,237.7,58.3,1
B11620,GRWD-TGN,2023-11-29,Points Renewal,01:00,03:27,147.8,Rail Crane,Low,Clear,194.7,46.8,1
B07635,AKV-BH,2023-11-29,Track Repair,01:00,03:50,170.1,Tamping Machine,Low,Clear,176.3,6.2,0
B09614,MS-TBM,2023-11-29,Track Repair,03:00,05:27,147.1,Tamping Machine,Low,Clear,150.1,3.0,0
B06946,IP-PTF,2023-11-29,Track Repair,04:00,07:19,199.3,Tamping Machine,Medium,Heavy Rain,174.3,-25.0,0
B13452,TI-VEU,2023-11-29,Signal Maintenance,03:00,04:30,90.9,Tower Wagon,Medium,Light Rain,114.5,23.6,1
B06871,BWN-DGR,2023-11-29,OHE Maintenance,01:00,03:41,161.2,OHE Maintenance Special,Low,Clear,140.2,-21.0,0
B03392,BHLA-GPAE,2023-11-29,Track Repair,22:00,01:23,203.7,Tamping Machine,Low,Light Rain,226.9,23.3,1
B08360,DVL-NK,2023-11-30,Rail Welding,00:00,01:05,65.3,Rail Crane,Low,Clear,103.0,37.8,1
B14595,BL-NVS,2023-11-30,Signal Maintenance,02:00,03:51,111.3,Tower Wagon,Low,Clear,120.4,9.1,0
B13177,KSWD-PMP,2023-11-30,Ballast Renewal,02:00,05:59,239.8,Ballast Regulator,Low,Clear,292.9,53.1,1
B11577,SRE-UMB,2023-11-30,Track Stabilization,02:00,04:38,158.9,Dynamic Track Stabilizer,Low,Clear,183.2,24.2,1
B01419,UBC-UMB,2023-11-30,Track Repair,02:00,05:22,202.0,Tamping Machine,Low,Clear,215.5,13.4,1
B10210,MLYA-NKL,2023-11-30,Ballast Renewal,04:00,07:53,233.4,Ballast Regulator,Low,Clear,255.8,22.4,1
B05943,CNGR-TRVL,2023-11-30,Track Stabilization,23:00,00:50,110.9,Dynamic Track Stabilizer,Medium,Light Rain,110.7,-0.2,0
B12461,HWH-TPKR,2023-11-30,Points Renewal,04:00,07:36,216.4,Rail Crane,Low,Clear,238.8,22.4,1
B02005,ABKA-BGRA,2023-11-30,Rail Welding,01:00,02:13,73.8,Rail Crane,Low,Clear,74.1,0.2,0
B14815,DDC-DDJ,2023-11-30,Ballast Renewal,00:00,04:05,245.3,Ballast Regulator,Medium,Light Rain,284.1,38.8,1
B05521,ALD-CNB,2023-11-30,Points Renewal,01:00,03:58,178.5,Rail Crane,Low,Clear,153.5,-25.0,0
B00305,BE-SPN,2023-11-30,Track Repair,03:00,05:23,143.4,Tamping Machine,Low,Fog,207.8,64.4,1
B10292,GZB-SBB,2023-12-01,Ballast Renewal,22:00,01:20,200.3,Ballast Regulator,Medium,Heavy Rain,208.0,7.7,0
B07760,CPB-MGW,2023-12-01,Track Repair,00:00,03:08,189.0,Tamping Machine,Low,Clear,194.3,5.3,0
B07740,KJU-TBAE,2023-12-01,OHE Maintenance,01:00,03:07,127.0,OHE Maintenance Special,Low,Clear,178.6,51.6,1
B02076,NRPR-SPR,2023-12-01,Rail Welding,00:00,01:32,92.8,Rail Crane,Medium,Clear,121.0,28.2,1
B01833,BCK-DUAN,2023-12-01,Points Renewal,01:00,04:08,188.5,Rail Crane,Low,Heavy Rain,218.8,30.4,1
B12211,BGB-NAI,2023-12-01,Ballast Renewal,01:00,04:58,238.5,Ballast Regulator,Low,Clear,253.6,15.1,1
B12632,CNB-CPB,2023-12-01,Track Repair,00:00,03:05,185.0,Tamping Machine,Low,Heavy Rain,190.2,5.2,0
B03606,JRC-PGW,2023-12-01,Rail Welding,04:00,05:33,93.9,Rail Crane,Low,Fog,140.8,46.9,1
B00986,KMC-NZB,2023-12-01,Points Renewal,04:00,07:45,225.5,Rail Crane,Low,Clear,201.5,-24.0,0
B05963,AK-BD,2023-12-01,Points Renewal,01:00,04:45,225.7,Rail Crane,Low,Clear,257.8,32.1,1
B11480,CHG-CRD,2023-12-01,OHE Maintenance,01:00,03:09,129.1,OHE Maintenance Special,High,Clear,138.3,9.3,0
B07729,MLND-TNA,2023-12-01,Track Repair,02:00,04:36,156.6,Tamping Machine,High,Light Rain,140.4,-16.1,0
B02934,HAUR-KHAI,2023-12-02,Rail Welding,03:00,04:31,91.3,Rail Crane,Low,Light Rain,86.9,-4.3,0
B05076,DSNR-RMJ,2023-12-02,Track Stabilization,01:00,03:49,169.7,Dynamic Track Stabilizer,Low,Heavy Rain,177.7,8.0,0
B08287,HPL-MLYA,2023-12-02,Rail Welding,23:00,00:21,81.4,Rail Crane,Low,Clear,84.9,3.6,0
B13504,NCB-NOQ,2023-12-02,Points Renewal,04:00,06:53,173.6,Rail Crane,Low,Clear,174.2,0.6,0
B13096,CKP-ROU,2023-12-02,Track Stabilization,01:00,04:00,180.6,Dynamic Track Stabilizer,Low,Extreme Heat,197.2,16.6,1
B00877,MLDT-NFK,2023-12-02,OHE Maintenance,02:00,04:28,148.7,OHE Maintenance Special,Low,Fog,158.0,9.3,0
B11963,BDC-HYG,2023-12-02,OHE Maintenance,23:00,01:42,162.1,OHE Maintenance Special,Low,Clear,159.0,-3.1,0
B05992,MJ-PMY,2023-12-02,OHE Maintenance,00:00,02:47,167.6,OHE Maintenance Special,Low,Clear,188.3,20.7,1
B04885,DKAE-RCD,2023-12-02,Track Repair,04:00,07:18,198.3,Tamping Machine,Low,Clear,200.7,2.4,0
B08091,DDC-DDJ,2023-12-02,Rail Welding,01:00,02:35,95.2,Rail Crane,Medium,Heavy Rain,135.9,40.7,1
B12692,DBA-GWL,2023-12-03,OHE Maintenance,04:00,06:40,160.1,OHE Maintenance Special,Low,Clear,199.4,39.2,1
B11399,CSB-NDLS,2023-12-03,Points Renewal,23:00,02:02,182.5,Rail Crane,Medium,Clear,182.9,0.4,0
B01657,DHAE-KWAE,2023-12-03,OHE Maintenance,04:00,06:23,143.5,OHE Maintenance Special,Low,Light Rain,139.8,-3.7,0
B12545,DWX-UJN,2023-12-03,Track Stabilization,01:00,03:16,136.8,Dynamic Track Stabilizer,Low,Clear,141.6,4.8,0
B14955,CRJ-JMT,2023-12-03,Signal Maintenance,00:00,01:43,103.1,Tower Wagon,Low,Heavy Rain,131.9,28.8,1
B14894,CG-TLX,2023-12-03,Signal Maintenance,01:00,02:32,92.5,Tower Wagon,Low,Light Rain,93.0,0.6,0
B00813,GIA-NRPR,2023-12-03,Rail Welding,02:00,03:31,91.9,Rail Crane,Medium,Extreme Heat,117.6,25.6,1
B01491,ED-TUP,2023-12-03,Points Renewal,04:00,07:26,206.2,Rail Crane,Medium,Clear,219.0,12.8,1
B09018,HAUR-RDU,2023-12-03,Track Repair,22:00,00:34,154.2,Tamping Machine,Low,Clear,155.6,1.4,0
B05769,DWX-INDB,2023-12-03,OHE Maintenance,22:00,00:17,137.7,OHE Maintenance Special,Low,Clear,140.1,2.4,0
B02937,MJ-PMY,2023-12-03,Ballast Renewal,03:00,06:34,214.2,Ballast Regulator,Low,Clear,193.8,-20.4,0
B13862,GR-SUR,2023-12-03,Track Stabilization,01:00,04:33,213.3,Dynamic Track Stabilizer,Low,Clear,250.5,37.3,1
B07226,KZJ-WL,2023-12-04,Track Repair,22:00,01:00,180.9,Tamping Machine,Low,Clear,171.8,-9.2,0
