section_id,from_station,to_station,hour_of_day,trains_count,traffic_level
BAHP-TKRP,BAHP,TKRP,6,1,LOW
BAHP-TKRP,BAHP,TKRP,9,1,LOW
BAHP-TKRP,BAHP,TKRP,15,1,LOW
BAHP-TKRP,BAHP,TKRP,17,1,LOW
BAHP-TKRP,BAHP,TKRP,21,1,LOW
BAHW-KKAE,BAHW,KKAE,0,1,LOW
BAHW-KKAE,BAHW,KKAE,3,1,LOW
BAHW-KKAE,BAHW,KKAE,4,2,LOW
BAHW-KKAE,BAHW,KKAE,5,3,MEDIUM
BAHW-KKAE,BAHW,KKAE,6,2,LOW
BAHW-KKAE,BAHW,KKAE,7,3,MEDIUM
BAHW-KKAE,BAHW,KKAE,8,3,MEDIUM
BAHW-KKAE,BAHW,KKAE,9,3,MEDIUM
BAHW-KKAE,BAHW,KKAE,10,2,LOW
BAHW-KKAE,BAHW,KKAE,11,5,MEDIUM
BAHW-KKAE,BAHW,KKAE,12,3,MEDIUM
BAHW-KKAE,BAHW,KKAE,13,3,MEDIUM
BAHW-KKAE,BAHW,KKAE,14,4,MEDIUM
BAHW-KKAE,BAHW,KKAE,15,3,MEDIUM
BAHW-KKAE,BAHW,KKAE,16,2,LOW
BAHW-KKAE,BAHW,KKAE,17,2,LOW
BAHW-KKAE,BAHW,KKAE,18,3,MEDIUM
BAHW-KKAE,BAHW,KKAE,19,4,MEDIUM
BAHW-KKAE,BAHW,KKAE,20,4,MEDIUM
BAHW-KKAE,BAHW,KKAE,21,4,MEDIUM
BAHW-KKAE,BAHW,KKAE,22,4,MEDIUM
BAHW-KKAE,BAHW,KKAE,23,2,LOW
BAHW-LOK,BAHW,LOK,0,1,LOW
BAHW-LOK,BAHW,LOK,3,1,LOW
BAHW-LOK,BAHW,LOK,4,2,LOW
BAHW-LOK,BAHW,LOK,5,3,MEDIUM
BAHW-LOK,BAHW,LOK,6,2,LOW
BAHW-LOK,BAHW,LOK,7,4,MEDIUM
BAHW-LOK,BAHW,LOK,8,2,LOW
BAHW-LOK,BAHW,LOK,9,3,MEDIUM
BAHW-LOK,BAHW,LOK,10,2,LOW
BAHW-LOK,BAHW,LOK,11,4,MEDIUM
BAHW-LOK,BAHW,LOK,12,4,MEDIUM
BAHW-LOK,BAHW,LOK,13,3,MEDIUM
BAHW-LOK,BAHW,LOK,14,4,MEDIUM
BAHW-LOK,BAHW,LOK,15,3,MEDIUM
BAHW-LOK,BAHW,LOK,16,2,LOW
BAHW-LOK,BAHW,LOK,17,2,LOW
BAHW-LOK,BAHW,LOK,18,3,MEDIUM
BAHW-LOK,BAHW,LOK,19,4,MEDIUM
BAHW-LOK,BAHW,LOK,20,4,MEDIUM
BAHW-LOK,BAHW,LOK,21,4,MEDIUM
BAHW-LOK,BAHW,LOK,22,4,MEDIUM
BAHW-LOK,BAHW,LOK,23,2,LOW
BAI-BSKO,BAI,BSKO,5,1,LOW
BAI-BSKO,BAI,BSKO,21,1,LOW
BAI-DO,BAI,DO,10,1,LOW
BAI-DO,BAI,DO,15,1,LOW
BAI-JHIR,BAI,JHIR,8,1,LOW
BAI-JHIR,BAI,JHIR,12,1,LOW
BAI-JHIR,BAI,JHIR,15,1,LOW
BAI-JHIR,BAI,JHIR,19,1,LOW
BAI-KUT,BAI,KUT,8,1,LOW
BAI-KUT,BAI,KUT,12,1,LOW
BAI-KUT,BAI,KUT,14,1,LOW
BAI-KUT,BAI,KUT,19,1,LOW
BAI-KWP,BAI,KWP,5,1,LOW
BAI-KWP,BAI,KWP,10,1,LOW
BAI-KWP,BAI,KWP,16,1,LOW
BAI-KWP,BAI,KWP,21,1,LOW
BAJ-OD,BAJ,OD,5,2,LOW
BAJ-OD,BAJ,OD,7,1,LOW
BAJ-OD,BAJ,OD,8,1,LOW
BAJ-OD,BAJ,OD,10,2,LOW
BAJ-OD,BAJ,OD,11,1,LOW
BAJ-OD,BAJ,OD,14,2,LOW
BAJ-OD,BAJ,OD,16,2,LOW
BAJ-OD,BAJ,OD,18,1,LOW
BAJ-OD,BAJ,OD,19,1,LOW
BAJ-SNA,BAJ,SNA,5,2,LOW
BAJ-SNA,BAJ,SNA,7,1,LOW
BAJ-SNA,BAJ,SNA,9,1,LOW
BAJ-SNA,BAJ,SNA,10,2,LOW
BAJ-SNA,BAJ,SNA,11,1,LOW
BAJ-SNA,BAJ,SNA,14,2,LOW
BAJ-SNA,BAJ,SNA,16,2,LOW
BAJ-SNA,BAJ,SNA,18,1,LOW
BAJ-SNA,BAJ,SNA,19,1,LOW
BAJE-KDBA,BAJE,KDBA,11,1,LOW
BAJE-KDBA,BAJE,KDBA,13,1,LOW
BAJE-SBHR,BAJE,SBHR,12,1,LOW
BAJE-SBHR,BAJE,SBHR,13,1,LOW
BAK-DO,BAK,DO,7,1,LOW
BAK-DO,BAK,DO,11,1,LOW
BAK-DO,BAK,DO,15,1,LOW
BAK-DO,BAK,DO,19,1,LOW
BAK-KVGM,BAK,KVGM,7,1,LOW
BAK-KVGM,BAK,KVGM,11,1,LOW
BAK-KVGM,BAK,KVGM,15,1,LOW
BAK-KVGM,BAK,KVGM,20,1,LOW
BAKA-KKBA,BAKA,KKBA,11,1,LOW
BAKA-KKBA,BAKA,KKBA,12,1,LOW
BAKA-MRHA,BAKA,MRHA,6,1,LOW
BAKA-MRHA,BAKA,MRHA,7,1,LOW
BAKA-MRHA,BAKA,MRHA,8,1,LOW
BAKA-MRHA,BAKA,MRHA,9,1,LOW
BAKA-MRHA,BAKA,MRHA,18,1,LOW
BAKA-MRHA,BAKA,MRHA,19,1,LOW
BAKL-MUA,BAKL,MUA,4,1,LOW
BAKL-MUA,BAKL,MUA,5,1,LOW
BAKL-MUA,BAKL,MUA,6,1,LOW
BAKL-MUA,BAKL,MUA,7,1,LOW
BAKL-MUA,BAKL,MUA,8,1,LOW
BAKL-MUA,BAKL,MUA,10,1,LOW
BAKL-MUA,BAKL,MUA,11,1,LOW
BAKL-MUA,BAKL,MUA,14,1,LOW
BAKL-MUA,BAKL,MUA,15,1,LOW
BAKL-MUA,BAKL,MUA,18,1,LOW
BAKL-MUA,BAKL,MUA,19,2,LOW
BAKL-MUA,BAKL,MUA,21,1,LOW
BAKL-MUA,BAKL,MUA,22,1,LOW
BAKL-MUA,BAKL,MUA,23,1,LOW
BAKL-RJN,BAKL,RJN,4,1,LOW
BAKL-RJN,BAKL,RJN,6,1,LOW
BAKL-RJN,BAKL,RJN,7,2,LOW
BAKL-RJN,BAKL,RJN,9,1,LOW
BAKL-RJN,BAKL,RJN,10,1,LOW
BAKL-RJN,BAKL,RJN,12,1,LOW
BAKL-RJN,BAKL,RJN,14,1,LOW
BAKL-RJN,BAKL,RJN,15,1,LOW
BAKL-RJN,BAKL,RJN,18,2,LOW
BAKL-RJN,BAKL,RJN,19,1,LOW
BAKL-RJN,BAKL,RJN,20,1,LOW
BAKL-RJN,BAKL,RJN,22,1,LOW
BAKL-RJN,BAKL,RJN,23,1,LOW
BAL-SGM,BAL,SGM,1,1,LOW
BAL-SGM,BAL,SGM,5,1,LOW
BAL-SGM,BAL,SGM,6,2,LOW
BAL-SGM,BAL,SGM,7,1,LOW
BAL-SGM,BAL,SGM,8,2,LOW
BAL-SGM,BAL,SGM,9,1,LOW
BAL-SGM,BAL,SGM,10,2,LOW
BAL-SGM,BAL,SGM,12,2,LOW
BAL-SGM,BAL,SGM,14,2,LOW
BAL-SGM,BAL,SGM,16,1,LOW
BAL-SGM,BAL,SGM,17,2,LOW
BAL-SGM,BAL,SGM,18,2,LOW
BAL-SGM,BAL,SGM,20,1,LOW
BAL-SGM,BAL,SGM,21,1,LOW
BAL-SGM,BAL,SGM,22,1,LOW
BAL-TJ,BAL,TJ,4,1,LOW
BAL-TJ,BAL,TJ,5,1,LOW
BAL-TJ,BAL,TJ,8,1,LOW
BAL-TJ,BAL,TJ,10,1,LOW
BAL-TJ,BAL,TJ,14,1,LOW
BAL-TJ,BAL,TJ,18,1,LOW
BAL-TJ,BAL,TJ,19,1,LOW
BAL-TJ,BAL,TJ,21,1,LOW
BAL-TPJ,BAL,TPJ,5,1,LOW
BAL-TPJ,BAL,TPJ,8,1,LOW
BAL-TPJ,BAL,TPJ,10,1,LOW
BAL-TPJ,BAL,TPJ,14,1,LOW
BAL-TPJ,BAL,TPJ,18,1,LOW
BAL-TPJ,BAL,TPJ,21,1,LOW
BAL-TRB,BAL,TRB,4,1,LOW
BAL-TRB,BAL,TRB,19,1,LOW
BALE-PK,BALE,PK,7,1,LOW
BALE-PK,BALE,PK,11,1,LOW
BALE-PK,BALE,PK,14,1,LOW
BALE-PK,BALE,PK,23,1,LOW
BALE-SUR,BALE,SUR,7,1,LOW
BALE-SUR,BALE,SUR,11,1,LOW
BALE-SUR,BALE,SUR,14,1,LOW
BALE-SUR,BALE,SUR,23,1,LOW
BALR-DEOS,BALR,DEOS,0,1,LOW
BALR-DEOS,BALR,DEOS,5,1,LOW
BALR-DEOS,BALR,DEOS,7,1,LOW
BALR-DEOS,BALR,DEOS,9,1,LOW
BALR-DEOS,BALR,DEOS,14,1,LOW
BALR-DEOS,BALR,DEOS,16,1,LOW
BALR-DEOS,BALR,DEOS,17,1,LOW
BALR-DEOS,BALR,DEOS,19,1,LOW
BALR-GB,BALR,GB,0,1,LOW
BALR-GB,BALR,GB,5,1,LOW
BALR-GB,BALR,GB,7,1,LOW
BALR-GB,BALR,GB,9,1,LOW
BALR-GB,BALR,GB,14,1,LOW
BALR-GB,BALR,GB,16,1,LOW
BALR-GB,BALR,GB,18,1,LOW
BALR-GB,BALR,GB,19,1,LOW
BALU-BAM,BALU,BAM,3,5,MEDIUM
BALU-BAM,BALU,BAM,5,1,LOW
BALU-BAM,BALU,BAM,7,1,LOW
BALU-BAM,BALU,BAM,8,6,MEDIUM
BALU-BAM,BALU,BAM,9,4,MEDIUM
BALU-BAM,BALU,BAM,12,1,LOW
BALU-BAM,BALU,BAM,13,2,LOW
BALU-BAM,BALU,BAM,14,1,LOW
BALU-BAM,BALU,BAM,15,2,LOW
BALU-BAM,BALU,BAM,20,1,LOW
BALU-BAM,BALU,BAM,23,4,MEDIUM
BALU-CAP,BALU,CAP,1,1,LOW
BALU-CAP,BALU,CAP,2,1,LOW
BALU-CAP,BALU,CAP,4,2,LOW
BALU-CAP,BALU,CAP,6,3,MEDIUM
BALU-CAP,BALU,CAP,7,1,LOW
BALU-CAP,BALU,CAP,8,1,LOW
BALU-CAP,BALU,CAP,9,1,LOW
BALU-CAP,BALU,CAP,11,2,LOW
BALU-CAP,BALU,CAP,12,2,LOW
BALU-CAP,BALU,CAP,13,2,LOW
BALU-CAP,BALU,CAP,15,1,LOW
BALU-CAP,BALU,CAP,16,1,LOW
BALU-CAP,BALU,CAP,17,2,LOW
BALU-CAP,BALU,CAP,19,2,LOW
BALU-CAP,BALU,CAP,22,1,LOW
BALU-CAP,BALU,CAP,23,1,LOW
BALU-CLKA,BALU,CLKA,5,2,LOW
BALU-CLKA,BALU,CLKA,6,2,LOW
BALU-CLKA,BALU,CLKA,8,1,LOW
BALU-CLKA,BALU,CLKA,9,1,LOW
BALU-CLKA,BALU,CLKA,11,2,LOW
BALU-CLKA,BALU,CLKA,12,1,LOW
BALU-CLKA,BALU,CLKA,13,1,LOW
BALU-CLKA,BALU,CLKA,14,1,LOW
BALU-CLKA,BALU,CLKA,15,1,LOW
BALU-CLKA,BALU,CLKA,19,2,LOW
BALU-CLKA,BALU,CLKA,21,3,MEDIUM
BALU-GNGD,BALU,GNGD,8,2,LOW
BALU-GNGD,BALU,GNGD,11,1,LOW
BALU-GNGD,BALU,GNGD,14,1,LOW
BALU-GNGD,BALU,GNGD,19,1,LOW
BALU-KAPG,BALU,KAPG,5,1,LOW
BALU-KAPG,BALU,KAPG,6,1,LOW
BALU-KAPG,BALU,KAPG,19,1,LOW
BALU-KAPG,BALU,KAPG,21,1,LOW
BALU-KIT,BALU,KIT,6,2,LOW
BALU-KIT,BALU,KIT,8,1,LOW
BALU-KIT,BALU,KIT,18,1,LOW
BALU-KIT,BALU,KIT,19,1,LOW
BALU-KIT,BALU,KIT,20,1,LOW
BALU-KUR,BALU,KUR,0,4,MEDIUM
BALU-KUR,BALU,KUR,1,1,LOW
BALU-KUR,BALU,KUR,2,1,LOW
BALU-KUR,BALU,KUR,4,6,MEDIUM
BALU-KUR,BALU,KUR,5,2,LOW
BALU-KUR,BALU,KUR,6,1,LOW
BALU-KUR,BALU,KUR,7,9,HIGH
BALU-KUR,BALU,KUR,8,5,MEDIUM
BALU-KUR,BALU,KUR,9,1,LOW
BALU-KUR,BALU,KUR,10,1,LOW
BALU-KUR,BALU,KUR,11,2,LOW
BALU-KUR,BALU,KUR,12,4,MEDIUM
BALU-KUR,BALU,KUR,13,1,LOW
BALU-KUR,BALU,KUR,14,1,LOW
BALU-KUR,BALU,KUR,15,2,LOW
BALU-KUR,BALU,KUR,16,2,LOW
BALU-KUR,BALU,KUR,17,1,LOW
BALU-KUR,BALU,KUR,18,2,LOW
BALU-KUR,BALU,KUR,19,1,LOW
BALU-KUR,BALU,KUR,21,1,LOW
BALU-KUR,BALU,KUR,22,1,LOW
BALU-KUR,BALU,KUR,23,1,LOW
BALU-KUU,BALU,KUU,6,1,LOW
BALU-KUU,BALU,KUU,20,1,LOW
BALU-NKP,BALU,NKP,7,1,LOW
BALU-NKP,BALU,NKP,9,1,LOW
BALU-NKP,BALU,NKP,13,1,LOW
BALU-NKP,BALU,NKP,20,1,LOW
BALU-SLZ,BALU,SLZ,7,2,LOW
BALU-SLZ,BALU,SLZ,8,1,LOW
BALU-SLZ,BALU,SLZ,10,1,LOW
BALU-SLZ,BALU,SLZ,11,1,LOW
BALU-SLZ,BALU,SLZ,13,1,LOW
BALU-SLZ,BALU,SLZ,16,1,LOW
BALU-SLZ,BALU,SLZ,19,2,LOW
BALU-SLZ,BALU,SLZ,20,1,LOW
BAM-CAP,BAM,CAP,0,1,LOW
BAM-CAP,BAM,CAP,1,1,LOW
BAM-CAP,BAM,CAP,2,1,LOW
BAM-CAP,BAM,CAP,3,1,LOW
BAM-CAP,BAM,CAP,4,3,MEDIUM
BAM-CAP,BAM,CAP,5,2,LOW
BAM-CAP,BAM,CAP,6,3,MEDIUM
BAM-CAP,BAM,CAP,7,2,LOW
BAM-CAP,BAM,CAP,8,2,LOW
BAM-CAP,BAM,CAP,9,1,LOW
BAM-CAP,BAM,CAP,10,3,MEDIUM
BAM-CAP,BAM,CAP,12,2,LOW
BAM-CAP,BAM,CAP,13,3,MEDIUM
BAM-CAP,BAM,CAP,15,2,LOW
BAM-CAP,BAM,CAP,17,4,MEDIUM
BAM-CAP,BAM,CAP,18,1,LOW
BAM-CAP,BAM,CAP,19,1,LOW
BAM-CAP,BAM,CAP,20,3,MEDIUM
BAM-CAP,BAM,CAP,22,3,MEDIUM
BAM-CHE,BAM,CHE,1,1,LOW
BAM-CHE,BAM,CHE,19,1,LOW
BAM-GTA,BAM,GTA,5,1,LOW
BAM-GTA,BAM,GTA,6,1,LOW
BAM-GTA,BAM,GTA,11,1,LOW
BAM-GTA,BAM,GTA,12,1,LOW
BAM-GTA,BAM,GTA,20,1,LOW
BAM-GTA,BAM,GTA,22,2,LOW
BAM-IPM,BAM,IPM,0,1,LOW
BAM-IPM,BAM,IPM,1,1,LOW
BAM-IPM,BAM,IPM,3,3,MEDIUM
BAM-IPM,BAM,IPM,4,1,LOW
BAM-IPM,BAM,IPM,6,2,LOW
BAM-IPM,BAM,IPM,7,2,LOW
BAM-IPM,BAM,IPM,8,1,LOW
BAM-IPM,BAM,IPM,9,2,LOW
BAM-IPM,BAM,IPM,10,2,LOW
BAM-IPM,BAM,IPM,11,1,LOW
BAM-IPM,BAM,IPM,14,2,LOW
BAM-IPM,BAM,IPM,16,2,LOW
BAM-IPM,BAM,IPM,17,3,MEDIUM
BAM-IPM,BAM,IPM,18,1,LOW
BAM-IPM,BAM,IPM,21,1,LOW
BAM-IPM,BAM,IPM,22,2,LOW
BAM-JNP,BAM,JNP,5,2,LOW
BAM-JNP,BAM,JNP,7,1,LOW
BAM-JNP,BAM,JNP,11,1,LOW
BAM-JNP,BAM,JNP,12,1,LOW
BAM-JNP,BAM,JNP,13,1,LOW
BAM-JNP,BAM,JNP,14,1,LOW
BAM-JNP,BAM,JNP,20,2,LOW
BAM-JNP,BAM,JNP,22,1,LOW
BAM-KUR,BAM,KUR,0,1,LOW
BAM-KUR,BAM,KUR,1,5,MEDIUM
BAM-KUR,BAM,KUR,4,4,MEDIUM
BAM-KUR,BAM,KUR,5,1,LOW
BAM-KUR,BAM,KUR,6,2,LOW
BAM-KUR,BAM,KUR,7,3,MEDIUM
BAM-KUR,BAM,KUR,8,4,MEDIUM
BAM-KUR,BAM,KUR,9,3,MEDIUM
BAM-KUR,BAM,KUR,10,4,MEDIUM
BAM-KUR,BAM,KUR,12,5,MEDIUM
BAM-KUR,BAM,KUR,14,1,LOW
BAM-KUR,BAM,KUR,15,6,MEDIUM
BAM-KUR,BAM,KUR,17,2,LOW
BAM-KUR,BAM,KUR,18,3,MEDIUM
BAM-KUR,BAM,KUR,19,5,MEDIUM
BAM-KUR,BAM,KUR,20,3,MEDIUM
BAM-KUR,BAM,KUR,22,9,HIGH
BAM-KUR,BAM,KUR,23,6,MEDIUM
BAM-PSA,BAM,PSA,1,1,LOW
BAM-PSA,BAM,PSA,2,6,MEDIUM
BAM-PSA,BAM,PSA,3,2,LOW
BAM-PSA,BAM,PSA,4,2,LOW
BAM-PSA,BAM,PSA,5,1,LOW
BAM-PSA,BAM,PSA,6,1,LOW
BAM-PSA,BAM,PSA,7,1,LOW
BAM-PSA,BAM,PSA,8,3,MEDIUM
BAM-PSA,BAM,PSA,9,7,MEDIUM
BAM-PSA,BAM,PSA,10,5,MEDIUM
BAM-PSA,BAM,PSA,11,2,LOW
BAM-PSA,BAM,PSA,12,1,LOW
BAM-PSA,BAM,PSA,13,1,LOW
BAM-PSA,BAM,PSA,14,4,MEDIUM
BAM-PSA,BAM,PSA,15,1,LOW
BAM-PSA,BAM,PSA,17,1,LOW
BAM-PSA,BAM,PSA,19,3,MEDIUM
BAM-PSA,BAM,PSA,20,1,LOW
BAM-PSA,BAM,PSA,21,2,LOW
BAM-PSA,BAM,PSA,22,6,MEDIUM
BAM-PSA,BAM,PSA,23,2,LOW
BAM-SPT,BAM,SPT,0,1,LOW
BAM-SPT,BAM,SPT,1,1,LOW
BAM-SPT,BAM,SPT,3,2,LOW
BAM-SPT,BAM,SPT,8,1,LOW
BAM-SPT,BAM,SPT,10,1,LOW
BAM-SPT,BAM,SPT,13,1,LOW
BAM-SPT,BAM,SPT,14,1,LOW
BAM-SPT,BAM,SPT,18,1,LOW
BAM-SPT,BAM,SPT,21,4,MEDIUM
BAM-VSKP,BAM,VSKP,1,3,MEDIUM
BAM-VSKP,BAM,VSKP,12,3,MEDIUM
BAM-VSKP,BAM,VSKP,22,1,LOW
BAM-VSKP,BAM,VSKP,23,1,LOW
BAM-VZM,BAM,VZM,0,4,MEDIUM
BAM-VZM,BAM,VZM,1,3,MEDIUM
BAM-VZM,BAM,VZM,4,2,LOW
BAM-VZM,BAM,VZM,5,1,LOW
BAM-VZM,BAM,VZM,6,1,LOW
BAM-VZM,BAM,VZM,7,2,LOW
BAM-VZM,BAM,VZM,8,1,LOW
BAM-VZM,BAM,VZM,9,3,MEDIUM
BAM-VZM,BAM,VZM,10,1,LOW
BAM-VZM,BAM,VZM,11,1,LOW
BAM-VZM,BAM,VZM,12,2,LOW
BAM-VZM,BAM,VZM,14,1,LOW
BAM-VZM,BAM,VZM,18,1,LOW
BAM-VZM,BAM,VZM,19,2,LOW
BAM-VZM,BAM,VZM,21,4,MEDIUM
BAMA-BR,BAMA,BR,3,1,LOW
BAMA-BR,BAMA,BR,9,2,LOW
BAMA-BR,BAMA,BR,13,1,LOW
BAMA-BR,BAMA,BR,14,2,LOW
BAMA-BR,BAMA,BR,16,1,LOW
BAMA-BR,BAMA,BR,20,1,LOW
BAMA-BXN,BAMA,BXN,3,1,LOW
BAMA-BXN,BAMA,BXN,9,2,LOW
BAMA-BXN,BAMA,BXN,13,1,LOW
BAMA-BXN,BAMA,BXN,14,2,LOW
BAMA-BXN,BAMA,BXN,16,1,LOW
BAMA-BXN,BAMA,BXN,20,1,LOW
BAMR-BONA,BAMR,BONA,7,1,LOW
BAMR-BONA,BAMR,BONA,20,1,LOW
BAMR-RAIR,BAMR,RAIR,7,1,LOW
BAMR-RAIR,BAMR,RAIR,12,1,LOW
BAMR-RAIR,BAMR,RAIR,13,1,LOW
BAMR-RAIR,BAMR,RAIR,20,1,LOW
BAMR-SRGP,BAMR,SRGP,12,1,LOW
BAMR-SRGP,BAMR,SRGP,13,1,LOW
BAND-BLRR,BAND,BLRR,7,1,LOW
BAND-BLRR,BAND,BLRR,8,1,LOW
BAND-BLRR,BAND,BLRR,9,1,LOW
BAND-BLRR,BAND,BLRR,15,1,LOW
BAND-BLRR,BAND,BLRR,16,1,LOW
BAND-BLRR,BAND,BLRR,18,1,LOW
BAND-BYPL,BAND,BYPL,9,1,LOW
BAND-CRLM,BAND,CRLM,5,1,LOW
BAND-CRLM,BAND,CRLM,20,1,LOW
BAND-HEB,BAND,HEB,6,1,LOW
BAND-HEB,BAND,HEB,9,2,LOW
BAND-HEB,BAND,HEB,15,1,LOW
BAND-HEB,BAND,HEB,16,1,LOW
BAND-HEB,BAND,HEB,18,1,LOW
BAND-HSRA,BAND,HSRA,1,1,LOW
BAND-HSRA,BAND,HSRA,2,1,LOW
BAND-HSRA,BAND,HSRA,6,1,LOW
BAND-HSRA,BAND,HSRA,7,1,LOW
BAND-HSRA,BAND,HSRA,20,1,LOW
BAND-HSRA,BAND,HSRA,21,2,LOW
BAND-HSRA,BAND,HSRA,22,1,LOW
BAND-KJM,BAND,KJM,0,2,LOW
BAND-KJM,BAND,KJM,3,1,LOW
BAND-KJM,BAND,KJM,4,1,LOW
BAND-KJM,BAND,KJM,5,3,MEDIUM
BAND-KJM,BAND,KJM,7,1,LOW
BAND-KJM,BAND,KJM,11,2,LOW
BAND-KJM,BAND,KJM,15,1,LOW
BAND-KJM,BAND,KJM,18,1,LOW
BAND-KJM,BAND,KJM,19,1,LOW
BAND-KJM,BAND,KJM,20,2,LOW
BAND-KJM,BAND,KJM,22,1,LOW
BAND-TK,BAND,TK,2,1,LOW
BAND-YPR,BAND,YPR,1,1,LOW
BAND-YPR,BAND,YPR,3,1,LOW
BAND-YPR,BAND,YPR,5,3,MEDIUM
BAND-YPR,BAND,YPR,6,2,LOW
BAND-YPR,BAND,YPR,7,2,LOW
BAND-YPR,BAND,YPR,8,1,LOW
BAND-YPR,BAND,YPR,12,2,LOW
BAND-YPR,BAND,YPR,18,1,LOW
BAND-YPR,BAND,YPR,19,1,LOW
BAND-YPR,BAND,YPR,20,3,MEDIUM
BAND-YPR,BAND,YPR,21,4,MEDIUM
BAND-YPR,BAND,YPR,22,1,LOW
BAND-YPR,BAND,YPR,23,1,LOW
BANE-BGKT,BANE,BGKT,4,1,LOW
BANE-BGKT,BANE,BGKT,6,1,LOW
BANE-BGKT,BANE,BGKT,7,1,LOW
BANE-BGKT,BANE,BGKT,8,2,LOW
BANE-BGKT,BANE,BGKT,9,1,LOW
BANE-BGKT,BANE,BGKT,12,1,LOW
BANE-BGKT,BANE,BGKT,13,1,LOW
BANE-BGKT,BANE,BGKT,17,1,LOW
BANE-BGKT,BANE,BGKT,19,1,LOW
BANE-BGKT,BANE,BGKT,21,1,LOW
BANE-BGKT,BANE,BGKT,22,1,LOW
BANE-JU,BANE,JU,5,1,LOW
BANE-JU,BANE,JU,22,1,LOW
BANE-LUNI,BANE,LUNI,5,1,LOW
BANE-LUNI,BANE,LUNI,21,1,LOW
BANE-SZ,BANE,SZ,4,1,LOW
BANE-SZ,BANE,SZ,6,1,LOW
BANE-SZ,BANE,SZ,7,1,LOW
BANE-SZ,BANE,SZ,8,1,LOW
BANE-SZ,BANE,SZ,9,2,LOW
BANE-SZ,BANE,SZ,12,1,LOW
BANE-SZ,BANE,SZ,14,1,LOW
BANE-SZ,BANE,SZ,17,1,LOW
BANE-SZ,BANE,SZ,19,1,LOW
BANE-SZ,BANE,SZ,21,1,LOW
BANE-SZ,BANE,SZ,22,1,LOW
BANI-GNG,BANI,GNG,1,2,LOW
BANI-GNG,BANI,GNG,5,1,LOW
BANI-GNG,BANI,GNG,7,2,LOW
BANI-GNG,BANI,GNG,10,1,LOW
BANI-GNG,BANI,GNG,14,1,LOW
BANI-GNG,BANI,GNG,17,1,LOW
BANI-GNG,BANI,GNG,18,1,LOW
BANI-GNG,BANI,GNG,19,1,LOW
BANI-KCJ,BANI,KCJ,1,2,LOW
BANI-KCJ,BANI,KCJ,6,1,LOW
BANI-KCJ,BANI,KCJ,7,2,LOW
BANI-KCJ,BANI,KCJ,10,1,LOW
BANI-KCJ,BANI,KCJ,14,1,LOW
BANI-KCJ,BANI,KCJ,17,1,LOW
BANI-KCJ,BANI,KCJ,18,1,LOW
BANI-KCJ,BANI,KCJ,19,1,LOW
BANO-GBX,BANO,GBX,6,1,LOW
BANO-GBX,BANO,GBX,15,1,LOW
BANO-KNRN,BANO,KNRN,6,1,LOW
BANO-KNRN,BANO,KNRN,10,1,LOW
BANO-KNRN,BANO,KNRN,13,1,LOW
BANO-KNRN,BANO,KNRN,19,1,LOW
BANO-MCZ,BANO,MCZ,7,1,LOW
BANO-MCZ,BANO,MCZ,10,1,LOW
BANO-MCZ,BANO,MCZ,13,1,LOW
BANO-MCZ,BANO,MCZ,19,1,LOW
BANO-NXN,BANO,NXN,6,2,LOW
BANO-NXN,BANO,NXN,16,2,LOW
BANO-ORGA,BANO,ORGA,8,1,LOW
BANO-ORGA,BANO,ORGA,11,1,LOW
BANO-ORGA,BANO,ORGA,12,1,LOW
BANO-ORGA,BANO,ORGA,17,1,LOW
BANO-PKF,BANO,PKF,5,1,LOW
BANO-PKF,BANO,PKF,9,1,LOW
BANO-PKF,BANO,PKF,11,1,LOW
BANO-PKF,BANO,PKF,13,1,LOW
BANO-PKF,BANO,PKF,16,1,LOW
BANO-PKF,BANO,PKF,17,1,LOW
BAO-GWL,BAO,GWL,10,1,LOW
BAO-GWL,BAO,GWL,14,1,LOW
BAO-MRA,BAO,MRA,9,1,LOW
BAO-MRA,BAO,MRA,14,1,LOW
BAO-NUB,BAO,NUB,8,1,LOW
BAO-NUB,BAO,NUB,9,1,LOW
BAO-NUB,BAO,NUB,10,1,LOW
BAO-NUB,BAO,NUB,16,1,LOW
BAO-NUB,BAO,NUB,18,2,LOW
BAO-RRU,BAO,RRU,8,1,LOW
BAO-RRU,BAO,RRU,9,2,LOW
BAO-RRU,BAO,RRU,16,1,LOW
BAO-RRU,BAO,RRU,18,2,LOW
BAOL-BTU,BAOL,BTU,4,1,LOW
BAOL-BTU,BAOL,BTU,5,1,LOW
BAOL-BTU,BAOL,BTU,6,2,LOW
BAOL-BTU,BAOL,BTU,7,2,LOW
BAOL-BTU,BAOL,BTU,9,1,LOW
BAOL-BTU,BAOL,BTU,10,1,LOW
BAOL-BTU,BAOL,BTU,11,1,LOW
BAOL-BTU,BAOL,BTU,12,2,LOW
BAOL-BTU,BAOL,BTU,14,1,LOW
BAOL-BTU,BAOL,BTU,16,1,LOW
BAOL-BTU,BAOL,BTU,19,1,LOW
BAOL-BTU,BAOL,BTU,20,1,LOW
BAOL-BTU,BAOL,BTU,21,2,LOW
BAOL-BTU,BAOL,BTU,22,1,LOW
BAOL-KPKI,BAOL,KPKI,4,1,LOW
BAOL-KPKI,BAOL,KPKI,5,1,LOW
BAOL-KPKI,BAOL,KPKI,6,2,LOW
